Iteration;Reward;Time;Beta;;;;;
2350;-2,57948852;12,61;0,95;;;;;
2400;-2,59435463;12,86;0,95;;;;;
2450;-2,57425714;13,15;0,95;;;;;
2500;-2,74804473;13,4;0,95;;;;;
2550;-2,56994748;13,67;0,95;;;;;
2600;-2,57715011;13,93;0,95;;;;;
2650;-2,55373025;14,2;0,95;;;;;
2700;-2,55376315;14,46;0,95;;;;;
2750;-2,54697442;14,73;0,95;;;;;
2800;-2,54124713;15;0,95;;;;;
2850;-2,60852861;15,26;0,95;;;;;
2900;-2,54744124;15,51;0,95;;;;;
2950;-2,54292297;15,77;0,95;;;;;
3000;-2,59483981;16,03;0,95;;;;;
3050;-3,09519958;16,29;0,95;;;;;
3100;-22,63579559;16,54;0,95;;;;;
3150;-2,54344797;16,81;0,95;;;;;
3200;-2,53842115;17,08;0,95;;;;;
3250;-2,56363797;17,33;0,95;;;;;
3300;-2,55611849;17,59;0,95;;;;;
3350;-2,52393603;17,87;0,95;;;;;
3400;-2,73966265;18,12;0,95;;;;;
3450;-2,50376177;18,39;0,95;;;;;
3500;-2,4968822;18,66;0,95;;;;;
3550;-2,51928496;18,92;0,95;;;;;
3600;-2,49443078;19,19;0,95;;;;;
3650;-2,47801352;19,46;0,95;;;;;
3700;-5,61014175;19,71;0,95;;;;;
3750;-2,48902988;19,98;0,95;;;;;
3800;-2,46780872;20,24;0,95;;;;;
3850;-2,53396392;20,5;0,95;;;;;
3900;-2,44835353;20,77;0,95;;;;;
3950;-2,47958851;21,03;0,95;;;;;
4000;-2,4457593;21,3;0,95;;;;;
4050;-2,44998908;21,56;0,95;;;;;
4100;-2,43498015;21,83;0,95;;;;;
4150;-2,48470831;22,09;0,95;;;;;
4200;-2,44026852;22,34;0,95;;;;;
4250;-2,47541308;22,6;0,95;;;;;
4300;-2,42481613;22,87;0,95;;;;;
4350;-2,44500661;23,13;0,95;;;;;
4400;-2,4221375;23,4;0,95;;;;;
4450;-2,41400838;23,67;0,95;;;;;
4500;-100,374176;23,93;0,95;;;;;
4550;-2,42777133;24,19;0,95;;;;;
4600;-2,43871975;24,45;0,95;;;;;
4650;-2,5369513;24,71;0,95;;;;;
4700;-2,42167759;24,96;0,95;;;;;
4750;-2,47860217;25,23;0,95;;;;;
